amountraised,category,currencyused,endDate,numbercontributors,startDate,target,title
220,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Aug 12, 2015",4,"Aug 12, 2015",of $1k goal,Chad and Jade's Honeymoon
320,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Feb 5, 2016 at 10:25AM PTOct 9, 2015",6,"Oct 9, 2015",of $5k goal,PANSAA Graduation Fundraiser
200,<h1>Celebrations &amp; Weddings</h1>,Singapore Dollar,"Oct 22, 2015",6,"Oct 22, 2015",of $489 goal,Get huddy to Leon's !
600,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jul 23, 2015 at 07:24AM PTMar 16, 2015",9,"Mar 16, 2015",of $10k goal,Help us buy a house!
480,<h1>Celebrations &amp; Weddings</h1>,Canadian Dollar,"Jul 16, 2015 at 04:56PM PTMay 31, 2015",14,"May 31, 2015",of $10k goal,AHS – The Next Generation – Then and Now
190,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jun 11, 2015",11,"Jun 11, 2015",of $600 goal,Cosmic Camp Out IV
150,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"May 26, 2016 at 03:12PM PTJul 7, 2015",1,"Jul 7, 2015",of $2k goal,South Side Unidos 5th Annual Reunion Block Party
"1,235",<h1>Celebrations &amp; Weddings</h1>,Canadian Dollar,"Jun 19, 2015",25,"Jun 19, 2015",of $3k goal,Shape the first free public Bastille Day Festival!
900,<h1>Celebrations &amp; Weddings</h1>,Euro,"Jul 19, 2015 at 02:17PM PTJul 15, 2015",29,"Jul 15, 2015",of €570 goal,Wack's birthday gift!
855,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Aug 14, 2015 at 08:37PM PTJul 13, 2015",14,"Jul 13, 2015",of $2k goal,Give Back to Brittany Keeley
120,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"May 29, 2015",3,"May 29, 2015",of $6k goal,Festival of the Forks 3-on-3 BB Tournament
150,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Aug 18, 2015 at 07:28AM PTJul 9, 2015",2,"Jul 9, 2015",of $500 goal,Sunflowers for MJJ's 57th Birthday At Forest Lawn
530,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"May 7, 2015 at 12:52PM PTApr 4, 2015",18,"Apr 4, 2015",of $500 goal,Dexter's Trip
400,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Apr 23, 2015",10,"Apr 23, 2015",of $400 goal,Baby Milo Needs Wheels!
120,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Aug 23, 2014",2,"Aug 23, 2014",of $2k goal,Jordan and Sabrina's Dream Fund
440,<h1>Celebrations &amp; Weddings</h1>,Pound Sterling,"Apr 2, 2015",40,"Apr 2, 2015",of £500 goal,Make Sean and Lisa's wedding spectacular!
150,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jan 24, 2015",2,"Jan 24, 2015",of $5k goal,Fundraiser for Wake Island DXpedition 2015
215,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"May 23, 2015",13,"May 23, 2015",of $300 goal,Mrs. Campbell's Giants Fund
"2,505",<h1>Celebrations &amp; Weddings</h1>,Canadian Dollar,"Jul 21, 2015 at 05:04PM PTApr 14, 2015",29,"Apr 14, 2015",of $5k goal,1st YEG Women & Trans March/Festival
110,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Oct 25, 2014",4,"Oct 25, 2014",of $500 goal,Help us celebrate our new addition to the family
"4,500",<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Mar 5, 2015 at 03:32PM PTDec 14, 2014",64,"Dec 14, 2014",of $4.5k goal,14-05 Pararescue Graduation
200,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jan 16, 2015",1,"Jan 16, 2015",of $2.5k goal,Patrick and Danielle are getting married!!!
550,<h1>Celebrations &amp; Weddings</h1>,Canadian Dollar,"Mar 6, 2015",5,"Mar 6, 2015",of $10k goal,Willing Hearts International Society
220,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Apr 2, 2015",4,"Apr 2, 2015",of $5k goal,Annual July 4th Fireworks spectacular
770,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Apr 2, 2015",18,"Apr 2, 2015",of $750 goal,2015 Woodzie Sanitation Fund
332,<h1>Celebrations &amp; Weddings</h1>,Pound Sterling,"Apr 21, 2015 at 01:51PM PTJan 15, 2015",10,"Jan 15, 2015",of £3k goal,Unite to celebrate centenary of Scouting in Uganda
"1,000",<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Mar 29, 2015",8,"Mar 29, 2015",of $1k goal,Mark and Dianna's 30th Anniversary Vacation
270,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"May 26, 2016 at 03:12PM PTMar 30, 2015",6,"Mar 30, 2015",of $2k goal,5th Annual SouthSideUnidos Reunion Block Party
"2,710",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Mar 15, 2014",52,"Mar 15, 2014",of $3.5k goal,Help maintain West Pointe on the Bayou
540,<h1>Education &amp; Schools</h1>,Canadian Dollar,"Feb 4, 2018",7,"Feb 4, 2018",of $3.2k goal,Le Vélo Explores Urban Cycling in The Netherlands
"2,940",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Mar 1, 2012",55,"Mar 1, 2012",of $5k goal,Support TFF's independent peace work
995,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Aug 8, 2018 at 08:02AM PTJul 23, 2018",6,"Jul 23, 2018",of $1.5k goal,Book Drive for Girls Inc. of Metropolitan Dallas
"1,205",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Aug 18, 2018",7,"Aug 18, 2018",of $1k goal,Help Peter gain a university education!
440,<h1>Education &amp; Schools</h1>,Euro,"Jul 29, 2018",6,"Jul 29, 2018",of €4k goal,Build a canoe in my school project
500,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Sep 9, 2016 at 08:25AM PTJan 13, 2016",5,"Jan 13, 2016",of $2.5k goal,Help Marilyn return to the Nicaraguan children
"1,000","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Apr 7, 2016 at 08:27PM PTApr 6, 2016",1,"Apr 6, 2016",of $2k goal,Nana is a Head Case
410,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Mar 23, 2015",6,"Mar 23, 2015",of $7k goal,Back to Mozambique!
"2,675","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Feb 5, 2016",12,"Feb 5, 2016",of $6k goal,Help the Grants Get to South Africa
225,"<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Sep 5, 2016 at 12:27PM PTAug 3, 2016",6,"Aug 3, 2016",of $2.5k goal,Help me get back to school one kidney lighter!
"2,650","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jan 9, 2017",22,"Jan 9, 2017",of $2.5k goal,Recording our First Live Full Length Album
"1,115","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Oct 3, 2016",21,"Oct 3, 2016",of $7k goal,Recording our First Live Full Length Album
200,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Mar 14, 2017",2,"Mar 14, 2017",of $700 goal,Consi's Ovarian Cyst Surgery
125,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Dec 2, 2016",3,"Dec 2, 2016",of $750 goal,Marilyn's Mission-Nicaragua 2017
"2,320","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Aug 11, 2014",25,"Aug 11, 2014",of $60k goal,Fund for Lincoln Statler's theological education
"15,610","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"May 30, 2017 at 03:53AM PTFeb 13, 2017",41,"Feb 13, 2017",of $24k goal,Kenya 2017 - CONSUMED
100,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Nov 12, 2016",1,"Nov 12, 2016",of $30k goal,Voice of Christians from Galilee
"12,730","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jan 7, 2016",37,"Jan 7, 2016",of $100k goal,Help Ralph and Twyla deliver clean water!
"1,450","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jun 20, 2017 at 10:25AM PTMar 30, 2017",10,"Mar 30, 2017",of $820 goal,Please help us share the Love of Christ
"2,282","<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Aug 19, 2016",10,"Aug 19, 2016",of $115k goal,Mi'Kmaq land for Ministry
100,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Oct 12, 2016",2,"Oct 12, 2016",of $5k goal,Help Romanian Gypsy Families
"2,000","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Feb 24, 2017 at 07:45AM PTSep 24, 2016",8,"Sep 24, 2016",of $2k goal,Cuba is Calling Pastors Daniel & Yoli Nunez
200,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Feb 21, 2017 at 03:28PM PTNov 1, 2016",1,"Nov 1, 2016",of $3.6k goal,Haiti Mission's Trip
"3,440","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Apr 20, 2013",49,"Apr 20, 2013",of $10k goal,Support Mormon Evidence
"1,879","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Oct 7, 2014",22,"Oct 7, 2014",of $50k goal,"Feed,Cloth The Needy.Support God's Street Ministry"
"2,122","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jan 23, 2017 at 10:47AM PTDec 13, 2016",19,"Dec 13, 2016",of $2.1k goal,Help me publish a book about the Kingdom of God!
"2,070","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jun 29, 2016",43,"Jun 29, 2016",of $2k goal,Bibles for Pakistan
580,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jan 31, 2017 at 06:44AM PTApr 14, 2014",6,"Apr 14, 2014",of $2.5k goal,Please help me go on my mission
650,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Sep 7, 2015",3,"Sep 7, 2015",of $5k goal,Circle Maker Randy Montgomery
100,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Sep 3, 2016",2,"Sep 3, 2016",of $2.5k goal,Help Karen and Chris Fly home!
"10,035","<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Sep 14, 2016 at 09:34AM PTJul 12, 2016",183,"Jul 12, 2016",of $5k goal,"Brad Jersak says thanks for ""Jesus Showed Us!"""
340,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Sep 10, 2016",5,"Sep 10, 2016",of $1.5k goal,Help a Pup Make his Dream Come True
"5,580","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jul 30, 2016",10,"Jul 30, 2016",of $4k goal,"Aaron, Susi and Baby Eleni need a car!"
525,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Sep 6, 2016",5,"Sep 6, 2016",of $1.4k goal,October Mission Trip to the Dominican Republic
"1,920","<h1>Faith, Missions &amp; Religion</h1>",Australian Dollar,"Oct 9, 2016 at 02:07PM PTJul 8, 2016",30,"Jul 8, 2016",of $2k goal,Please help maintain our church rose garden
412,"<h1>Faith, Missions &amp; Religion</h1>",Pound Sterling,"Nov 28, 2016 at 03:25AM PTJun 28, 2016",25,"Jun 28, 2016",of £3k goal,Walking for World Peace
"2,775","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Sep 7, 2016 at 11:55AM PTMay 11, 2016",23,"May 11, 2016",of $3.5k goal,Kids Need Water: Rain Gutters and Collection Tanks
"4,390","<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Feb 19, 2016",21,"Feb 19, 2016",of $20k goal,Please help Vancouver Monastic Centre
"2,545","<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Oct 12, 2016 at 12:30PM PTApr 6, 2016",39,"Apr 6, 2016",of $5k goal,LGBTQ Advocacy at General Synod 2016
100,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jun 27, 2016 at 03:04PM PTJun 18, 2016",1,"Jun 18, 2016",of $30k goal,"Help Robbie, Preston’s Homeless Hero"
725,"<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Jun 1, 2016",18,"Jun 1, 2016",of $5k goal,Please help us on our journey to World Youth Day
170,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jun 13, 2016",3,"Jun 13, 2016",of $1.4k goal,Missions Trip to El Salvador
"1,672","<h1>Faith, Missions &amp; Religion</h1>",Pound Sterling,"Aug 13, 2016 at 02:40PM PTJun 12, 2016",42,"Jun 12, 2016",of £2.5k goal,Please help Romanian students get to Summer Fest!
"2,000","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Sep 2, 2016 at 06:09PM PTJun 28, 2016",13,"Jun 28, 2016",of $2k goal,Please help send Elijah & Curt on Mission Ecuador.
215,"<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Aug 20, 2016 at 10:28PM PTJul 3, 2016",6,"Jul 3, 2016",of $1.5k goal,Help the GSL youth get to the National Gathering
255,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jul 26, 2016",7,"Jul 26, 2016",of $350 goal,Help Dara make it to THE REVOLUTION!
"3,270","<h1>Faith, Missions &amp; Religion</h1>",Pound Sterling,"Jul 7, 2016 at 02:18AM PTJun 1, 2016",5,"Jun 1, 2016",of £1.5k goal,Refresh Centre June Campaign
345,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Nov 15, 2017 at 06:13AM PTMay 13, 2016",5,"May 13, 2016",of $10k goal,Preacher Man Christian Movie Project
"5,151","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jun 17, 2016 at 05:10PM PTApr 17, 2016",34,"Apr 17, 2016",of $5k goal,Nicaragua for Jesus! - BELIEVE.
"5,700","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"May 24, 2016 at 06:52PM PTJan 19, 2016",5,"Jan 19, 2016",of $5.7k goal,Freedom Crusades - Barcelona Spain
"3,715","<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Sep 8, 2016 at 08:23AM PTMar 14, 2016",30,"Mar 14, 2016",of $8k goal,First studio album - Dream becoming reality
110,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"May 23, 2016",4,"May 23, 2016",of $5k goal,COINS FOR CHRIST
"1,260","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"May 1, 2016",21,"May 1, 2016",of $1.2k goal,Jordan's Belize Trip
120,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Apr 4, 2016",2,"Apr 4, 2016",of $1M goal,Help transform the world
225,"<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Jun 7, 2016 at 09:32AM PTJun 5, 2016",2,"Jun 5, 2016",of $31.3k goal,Send Shannon to Mozambique with SAM Ministries!
427,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Apr 11, 2016",5,"Apr 11, 2016",of $840 goal,Houlton Community VBS 2016 Bible Buddies
"3,074","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jun 8, 2016 at 07:57AM PTMar 1, 2016",35,"Mar 1, 2016",of $4k goal,Loiederman Middle School: Lion's Pride Appeal
385,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Mar 31, 2016",14,"Mar 31, 2016",of $350 goal,Segyu and Phegyling Monastery's website support
175,"<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Oct 1, 2016 at 12:42AM PTFeb 12, 2016",3,"Feb 12, 2016",of $560 goal,Please help send Meghan to Bible camp this summer
"3,244","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Apr 8, 2015",28,"Apr 8, 2015",of $4.5k goal,1500 bibles for Ecuador
250,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"May 18, 2016 at 11:00PM PTFeb 18, 2016",2,"Feb 18, 2016",of $1k goal,School Kits for Jamaica Mission Trip
650,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"May 2, 2016 at 05:59AM PTFeb 29, 2016",8,"Feb 29, 2016",of $1.5k goal,Honduras Missions Trip
350,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Nov 15, 2016 at 04:15AM PTDec 27, 2015",4,"Dec 27, 2015",of $3k goal,Get Jason on the Bus! The Sequel!
143,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Apr 30, 2016 at 04:39AM PTApr 15, 2016",7,"Apr 15, 2016",of $5k goal,Psychic Readings & Coaching by Sherry Andrea
"8,025","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jul 1, 2016 at 05:22AM PTMar 25, 2016",22,"Mar 25, 2016",of $10k goal,BECOME a FRIEND for 100 and MORE!
"2,009","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jul 5, 2014",30,"Jul 5, 2014",of $5k goal,Woman to Woman Impartation 2016 Payment Center
175,"<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Jul 7, 2016 at 08:38PM PTDec 26, 2015",4,"Dec 26, 2015",of $1.9k goal,As a Pilgrim of Mercy...
145,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Mar 8, 2016 at 09:47AM PTOct 12, 2015",1,"Oct 12, 2015",of $100 goal,Help  Guideposts Outreach Ministry ! Volunteer !
650,"<h1>Faith, Missions &amp; Religion</h1>",Euro,"Nov 26, 2016 at 04:54PM PTOct 6, 2014",4,"Oct 6, 2014",of €2.5k goal,Basketball Ministry- One Game Unites
695,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Mar 23, 2016 at 11:10AM PTFeb 9, 2016",9,"Feb 9, 2016",of $800 goal,Wandering Mendicant
275,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Sep 14, 2016 at 05:40PM PTMar 6, 2016",7,"Mar 6, 2016",of $1.2k goal,Please help support The Impact's vision.
"2,530","<h1>Faith, Missions &amp; Religion</h1>",Pound Sterling,"Apr 1, 2016 at 06:27AM PTJan 21, 2016",11,"Jan 21, 2016",of £5k goal,Refresh Centre 2016
"20,050","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"May 24, 2016 at 06:53PM PTJan 3, 2016",10,"Jan 3, 2016",of $20k goal,Freedom Crusade - La Ventosa/Juchitan
240,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Apr 17, 2015",12,"Apr 17, 2015",of $120k goal,Bronze Fortified Wall~Muro Fortificado de Bronce
480,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Mar 6, 2016",11,"Mar 6, 2016",of $1.5k goal,Philippines Missions Trip 2016
100,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Nov 6, 2018
					
				Nov 6, 2018 at 11:59PM PTOct 7, 2018",1,"Oct 7, 2018",of $14k goal,Be part of my story
"2,046",<h1>Education &amp; Schools</h1>,Canadian Dollar,"Aug 26, 2016",45,"Aug 26, 2016",of $500 goal,Zoë's Back to School Fund
"16,890",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Nov 13, 2018
					
				Nov 13, 2018 at 11:59PM PTJul 13, 2018",93,"Jul 13, 2018",of $21k goal,Dominican Republic Mission Trip 2018
"3,025",<h1>Education &amp; Schools</h1>,Canadian Dollar,"Sep 16, 2018",17,"Sep 16, 2018",of $19k goal,Our family helping their futures.
"4,510",<h1>Education &amp; Schools</h1>,U.S. Dollar,"May 31, 2017",56,"May 31, 2017",of $8k goal,Support Helen Louise to Complete her PhD
"7,040",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Aug 7, 2018",145,"Aug 7, 2018",of $18k goal,Marlborough Elementary Nature Walk
220,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Oct 5, 2018",2,"Oct 5, 2018",of $1.5k goal,Conestoga Music Mentors
500,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Oct 16, 2018 at 08:14AM PTOct 16, 2018",1,"Oct 16, 2018",of $2k goal,Trying to giving wings to those who want to fly but not capable
"27,713",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Oct 20, 2018
					
				Oct 20, 2018 at 12:59AM PTSep 9, 2018",139,"Sep 9, 2018",of $40k goal,JSIS 2018 Move-A-Thon
"1,020",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Oct 5, 2018 at 12:48PM PTJul 11, 2018",3,"Jul 11, 2018",of $1k goal,Cubetto:  Using Robotics to Solidify Core Content
600,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Oct 9, 2018 at 09:48AM PTJul 10, 2018",2,"Jul 10, 2018",of $1.2k goal,Help Us Activate Our Writing Radar!
"1,375",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Sep 27, 2018",4,"Sep 27, 2018",of $2.4k goal,Design and Make Mini Retro Arcade Cabinets
195,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Sep 18, 2018",5,"Sep 18, 2018",of $1k goal,Book Drive for San Francisco Nativity Academy
150,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jan 3, 2019
					
				Jan 3, 2019 at 11:59PM PTSep 7, 2018",2,"Sep 7, 2018",of $6.5k goal,Maranatha School of Ministry!
"1,209",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Sep 27, 2018 at 11:30PM PTSep 24, 2018",22,"Sep 24, 2018",of $1.1k goal,Please Help Yasini Finish Law School -Tanzania
760,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Sep 29, 2018 at 12:49PM PTSep 27, 2018",8,"Sep 27, 2018",of $650 goal,Keep On Cooking!
"2,916",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jan 8, 2016",74,"Jan 8, 2016",of $25k goal,AKONGUASUA DAN - Institution
"1,526",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Oct 3, 2018 at 12:48PM PTSep 10, 2018",36,"Sep 10, 2018",of $15k goal,2018 Annual CCCS Jogathon!
"1,300",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Sep 11, 2018 at 02:01PM PTApr 25, 2018",9,"Apr 25, 2018",of $8k goal,Help Cambodian kids to learn English
900,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Aug 15, 2018",20,"Aug 15, 2018",of $2k goal,Black Leadership Development help send me to BOLD!
"9,556",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Apr 20, 2017",108,"Apr 20, 2017",of $10k goal,Support Daje's Next Big Step!
200,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Sep 18, 2018",1,"Sep 18, 2018",of $1.6k goal,Electronic Music Production for BHS students
"1,735",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Feb 12, 2014",16,"Feb 12, 2014",of $5k goal,Shirley E. Johnson Foundation
143,<h1>Education &amp; Schools</h1>,Pound Sterling,"Jul 9, 2018",7,"Jul 9, 2018",of £4k goal,Run for Smile Again Children's Foundation
350,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Aug 3, 2018 at 08:52AM PTJul 18, 2018",9,"Jul 18, 2018",of $1k goal,Let's Fill the Emily Center Book Cart at PCH!
100,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Aug 7, 2018 at 08:51AM PTAug 4, 2018",4,"Aug 4, 2018",of $5k goal,Ocoee High School Swim Team
"7,785",<h1>Education &amp; Schools</h1>,Canadian Dollar,"Jul 23, 2018",34,"Jul 23, 2018",of $7k goal,Andos Matanza Autism Awareness Fundraiser!
"3,461",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jun 1, 2018",107,"Jun 1, 2018",of $5k goal,Help Local 707 Retirees go to Public JSC Meetings
120,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Sep 2, 2018 at 07:22PM PTAug 13, 2018",4,"Aug 13, 2018",of $200 goal,"All children are capable of Success, No Exceptions"
"11,495",<h1>Education &amp; Schools</h1>,Canadian Dollar,"May 26, 2018",47,"May 26, 2018",of $12k goal,Summer KAMPaign 2018
"1,235",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Apr 23, 2018",30,"Apr 23, 2018",of $5k goal,Help me and my little sister please
750,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Sep 12, 2015",11,"Sep 12, 2015",of $15k goal,RESEARCH IN ACTION!!  SYNGAP 3 Prime Meeting
100,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Nov 30, 2018
					
				Nov 30, 2018 at 11:59PM PTApr 30, 2018",2,"Apr 30, 2018",of $85k goal,Please help Whitney to build libraries for Liberia
100,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Aug 24, 2018",1,"Aug 24, 2018",of $1k goal,Raising money for poor Haitian student's
"5,850",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Feb 22, 2018",92,"Feb 22, 2018",of $2.5k goal,11th Annual Nichols Sandy McDermott Walk-a-Thon
"1,890",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Nov 6, 2015",23,"Nov 6, 2015",of $2k goal,Chance to Education for Rural Guatemalan Children
"2,080",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Dec 9, 2017",42,"Dec 9, 2017",of $2k goal,Kundalini Yoga Teachers
460,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Apr 27, 2018",12,"Apr 27, 2018",of $600 goal,Commitment to Social Justice
100,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jan 3, 2017",6,"Jan 3, 2017",of $200k goal,Library  and computer laboratory for refugees
250,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Nov 15, 2017",4,"Nov 15, 2017",of $25k goal,The Zachary A. Jennings Memorial Endowment Fund
"1,002",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jun 19, 2018",3,"Jun 19, 2018",of $46.4k goal,Send Katarina to Oxford
805,<h1>Education &amp; Schools</h1>,Australian Dollar,"Jun 4, 2018",7,"Jun 4, 2018",of $1.3k goal,Please pay-off MET Leeton's New LINE MARKER!
"4,198",<h1>Education &amp; Schools</h1>,Euro,"May 13, 2018",80,"May 13, 2018",of €45k goal,Escola Waldorf A Oliveira Expansion Funding
435,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Mar 2, 2016",4,"Mar 2, 2016",of $2k goal,Please help Formula SIUE Racing
"3,300",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jun 20, 2018",5,"Jun 20, 2018",of $9k goal,Joshua's school Fund
"1,920",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jul 18, 2018",22,"Jul 18, 2018",of $20k goal,Help Marshall Ulrich keep Jean's scholarship alive
"2,100",<h1>Education &amp; Schools</h1>,Philippine Peso,"Apr 21, 2018",2,"Apr 21, 2018",of ₱2.5M goal,SAM Scholarship Fund
615,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Aug 8, 2014",8,"Aug 8, 2014",of $6.5k goal,Help Fund TourGR.com Development
"1,165",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Apr 24, 2018",22,"Apr 24, 2018",of $2k goal,NU Club Softball - Trip to Nationals!
"2,275",<h1>Education &amp; Schools</h1>,U.S. Dollar,"May 9, 2018 at 01:27PM PTApr 30, 2018",27,"Apr 30, 2018",of $2k goal,Cooper Mountain Library Non-Fiction Update
"1,290",<h1>Education &amp; Schools</h1>,Canadian Dollar,"Dec 2, 2017",29,"Dec 2, 2017",of $5k goal,Yellow Bicycle - a children's book
250,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Apr 11, 2018",4,"Apr 11, 2018",of $2k goal,Buzz City
